Gender,Height,Weight
Male,187.5714232,109.5777841
Male,174.7060363,73.52664405
Male,188.2396677,96.37160757
Male,182.1966851,99.67923905
Male,177.4997615,93.47645968
Male,170.8226598,68.95210656
Male,174.7141064,83.31933354
Male,173.6052294,76.09091305
Male,170.2281321,79.6960365
Male,161.1794947,70.8490534
Male,180.836271,84.53203128
Male,181.967645,96.82474978
Male,164.506476,75.70873987
Male,175.978998,85.81912017
Male,175.8790799,84.45467811
Male,171.819874,78.00067932
Male,183.9425242,88.80091337
Male,162.4947873,78.316212
Male,176.8857521,84.25073278
Male,172.5574523,82.63927155
Male,172.5042275,78.87451587
Male,176.3761773,89.57233399
Male,168.0187952,67.5756254
Male,191.023173,103.6290866
Male,172.4487187,73.38901329
Male,173.0858433,87.13182139
Male,175.4876638,83.54913401
Male,184.9141425,93.69316981
Male,171.2499554,79.37190685
Male,173.980895,69.91721543
Male,174.2900008,84.94059995
Male,188.0458714,96.44833207
Male,181.6816687,88.34960618
Male,175.7176092,92.94818047
Male,176.726094,92.48634884
Male,178.8183594,87.38529233
Male,175.4534748,89.4621739
Male,170.6715491,83.26637087
Male,167.1505818,74.22487667
Male,163.3326372,73.88793177
Male,172.654814,77.97742563
Male,183.3611419,87.90256842
Male,165.7866776,76.38383903
Male,167.8690505,73.02062497
Male,171.4762166,74.5911056
Male,178.0661571,85.58180333
Male,173.3596646,84.73843013
Male,183.3186812,94.70910112
Male,175.7168384,86.98249394
Male,185.0907148,95.73815106
Male,164.5477608,75.02206666
Male,178.2662167,91.0855789
Male,173.9682836,78.56105404
Male,171.0203104,82.17767872
Male,170.156998,76.89118145
Male,168.9088567,73.97921632
Male,173.6167639,85.9387251
Male,179.767126,87.03255585
Male,180.8884461,89.78390424
Male,177.833948,94.91550443
Male,181.3640828,90.03818607
Male,176.6620929,89.73002422
Male,187.4990778,88.46664732
Male,170.1720822,74.71931626
Male,181.4029034,81.47834776
Male,165.8094225,70.32844057
Male,173.4164463,83.58728424
Male,184.8240397,99.96715278
Male,172.9724247,83.04063285
Male,174.9976334,88.99244447
Male,175.9953553,83.62181056
Male,179.1289903,94.01237585
Male,176.9458621,80.27202072
Male,171.6919828,73.887925
Male,184.1706258,97.94685824
Male,180.9825834,92.7089387
Male,182.3953347,91.01701876
Male,183.5027203,100.0685018
Male,168.9420743,88.99178673
Male,167.7137464,76.39428695
Male,171.645971,82.18901899
Male,173.3462842,89.99237902
Male,187.5183626,107.7762813
Male,177.2982595,78.38768893
Male,167.5373276,72.78981424
Male,180.5407046,85.43712234
Male,169.1543392,94.3805994
Male,175.1368991,87.62610866
Male,173.340933,78.87169129
Male,183.6847358,89.40797093
Male,182.4111679,91.33416204
Male,165.7021058,81.99842388
Male,179.4269464,82.50148615
Male,164.419091,80.42981633
Male,170.44302,74.73348505
Male,165.3984116,75.06985182
Male,182.1211344,87.47165609
Male,169.7555106,81.8498008
Male,168.8370392,78.26649649
Male,176.3052766,80.39418915
Male,177.9325308,90.970888
Male,169.5287558,75.98611823
Male,168.336796,69.94121802
Male,173.5542579,80.62708206
Male,177.992756,83.3243022
Male,174.5817899,81.17976628
